
Symbol,Last,Net Chng,Bid,Ask
.YPF250117P2,.88,0,0,4.40
.YPF250117P3,.60,0,.10,1.20
.YPF250117P4,.85,0,.45,1.85
.YPF250117P5,1.38,0,.70,2.50
.YPF240119P2,.68,0,0,2.25
.YPF240119P3,.25,0,.15,.30
.YPF240119P4,.40,0,.30,.65
.YPF240119P5,.75,+.05,.65,1.00
.YPF240119P7,1.65,+.05,1.60,1.75
.YPF240119P10,3.26,0,3.40,3.70
.YPF240119P12,4.80,0,5.00,5.30
.YPF230421P1,.01,0,0,.10
.YPF230421P4,.15,0,.05,.15
.YPF230421P5,.20,0,.20,.35
.YPF230421P6,.50,0,.45,.60
.YPF230421P7,.90,-.10,.85,1.00
.YPF230421P8,1.50,0,1.40,1.55
.YPF230421P9,1.90,0,2.10,2.40
.YPF230421P10,2.55,0,2.85,3.00
.YPF230120P2,.05,0,0,.05
.YPF230120P3,.05,0,0,.10
.YPF230120P4,.18,0,0,.15
.YPF230120P5,.08,0,.05,.15
.YPF230120P6,.35,0,.15,.25
.YPF230120P7,.50,-.05,.45,.55
.YPF230120P8,1.10,0,1.00,1.10
.YPF230120P9,2.90,0,1.75,1.95
.YPF230120P10,3.90,0,2.65,2.75
.YPF221216P6,.05,0,.05,.15
.YPF221216P7,.32,0,.25,.35
.YPF221216P8,.83,-.03,.80,.95
.YPF221216P9,1.04,0,1.65,1.75
.YPF221216P10,1.95,0,1.40,3.90
.YPF221216P11,3.00,0,2.35,3.80
.YPF221118P4,.06,0,0,.10
.YPF221118P6,.05,0,0,.10
.YPF221118P7,.03,0,0,.05
.YPF221118P8,.65,0,.55,.70
.YPF221118P9,1.32,0,1.55,1.75
.YPF221118P10,1.85,0,2.40,2.75
.YPF221118P11,3.80,0,3.50,4.00
.XPRO230421P10,1.35,0,.35,4.40
.XPRO230421P12.5,.90,0,.75,1.00
.XPRO230421P15,1.77,0,1.05,1.90
.XPRO230120P10,1.05,0,0,.50
.XPRO230120P12.5,2.25,0,.25,1.20
.XPRO230120P17.5,1.85,0,.30,5.00
.XPRO221216P17.5,.80,0,.80,1.25
.XPRO221118P12.5,.05,0,0,4.80
.XPRO221118P15,.20,0,0,4.80
.XPRO221118P17.5,.61,0,0,.20
.XOM250117P42.5,1.23,-.02,1.15,1.30
.XOM250117P45,1.50,0,1.20,1.75
.XOM250117P47.5,1.60,0,1.31,1.90
.XOM250117P50,1.80,0,1.50,2.18
.XOM250117P55,2.30,0,1.96,2.71
.XOM250117P60,2.86,0,2.50,3.35
.XOM250117P65,3.60,0,3.40,4.10
.XOM250117P70,3.85,0,4.00,5.00
.XOM250117P75,5.50,+.05,5.05,5.80
.XOM250117P77.5,5.95,0,5.80,6.65
.XOM250117P80,6.85,-.10,6.30,7.05
.XOM250117P82.5,7.50,+.35,6.95,7.85
.XOM250117P85,8.05,0,7.50,8.65
.XOM250117P87.5,8.40,0,8.25,9.40
.XOM250117P90,10.20,+1.00,9.00,9.95
.XOM250117P92.5,10.17,0,9.90,10.95
.XOM250117P95,10.95,0,10.55,11.95
.XOM250117P97.5,12.10,0,12.00,12.85
.XOM250117P100,13.80,+1.03,12.65,13.70
.XOM250117P105,15.13,0,14.70,15.90
.XOM250117P110,17.35,0,16.70,18.25
.XOM250117P115,20.00,0,19.30,20.75
.XOM250117P120,24.30,0,21.95,23.40
.XOM250117P125,25.86,0,24.55,26.30
.XOM250117P130,27.70,0,27.55,29.15
.XOM250117P135,34.35,0,30.85,32.55
